"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","424","test_create_courier_with_existing_login[payload0-201-expected_response0]","api_test.tests","Wed Nov 06 02:36:18 GMT+03:00 2024","passed","Wed Nov 06 02:36:19 GMT+03:00 2024","TestCourier","test_courier","",""
"","83","test_login_courier_nonexistent_user[nonexistent_user-wrong_password-404]","api_test.tests","Wed Nov 06 02:38:19 GMT+03:00 2024","passed","Wed Nov 06 02:38:19 GMT+03:00 2024","","test_login_courier","",""
"","72","test_create_courier_missing_fields[payload2-201]","api_test.tests","Wed Nov 06 02:24:14 GMT+03:00 2024","passed","Wed Nov 06 02:24:14 GMT+03:00 2024","TestCourier","test_courier","",""
"","69","test_create_courier_response_code[payload0-201-expected_response0]","api_test.tests","Wed Nov 06 02:36:18 GMT+03:00 2024","passed","Wed Nov 06 02:36:18 GMT+03:00 2024","TestCourier","test_courier","",""
"","58","test_login_courier_invalid_credentials[wrong_login-test-404]","api_test.tests","Wed Nov 06 02:36:19 GMT+03:00 2024","passed","Wed Nov 06 02:36:19 GMT+03:00 2024","","test_login_courier","",""
"","167","test_create_courier_with_existing_login[payload0-201-expected_response0]","api_test.tests","Wed Nov 06 02:24:14 GMT+03:00 2024","passed","Wed Nov 06 02:24:15 GMT+03:00 2024","TestCourier","test_courier","",""
"","0","test_create_courier","api_test.tests","Wed Nov 06 02:36:18 GMT+03:00 2024","passed","Wed Nov 06 02:36:18 GMT+03:00 2024","TestCourier","test_courier","",""
"","47","test_login_courier_missing_fields[payload0-400]","api_test.tests","Wed Nov 06 02:36:19 GMT+03:00 2024","passed","Wed Nov 06 02:36:19 GMT+03:00 2024","","test_login_courier","",""
"","0","test_create_order[BLACK]","api_test.tests","Wed Nov 06 02:38:20 GMT+03:00 2024","passed","Wed Nov 06 02:38:20 GMT+03:00 2024","TestOrderCreation","test_order","",""
"","63","test_create_order_with_optional_colors[colors2]","api_test.tests","Wed Nov 06 02:38:20 GMT+03:00 2024","passed","Wed Nov 06 02:38:20 GMT+03:00 2024","TestOrderCreation","test_order","",""
"","60058","test_login_courier_missing_fields[payload2-400]","api_test.tests","Wed Nov 06 02:37:19 GMT+03:00 2024","failed","Wed Nov 06 02:38:19 GMT+03:00 2024","","test_login_courier","",""
"","72","test_create_courier_missing_fields[payload0-400]","api_test.tests","Wed Nov 06 02:36:18 GMT+03:00 2024","passed","Wed Nov 06 02:36:18 GMT+03:00 2024","TestCourier","test_courier","",""
"","55","test_create_duplicate_courier","api_test.tests","Wed Nov 06 02:36:18 GMT+03:00 2024","passed","Wed Nov 06 02:36:18 GMT+03:00 2024","TestCourier","test_courier","",""
"","72","test_login_courier_successful","api_test.tests","Wed Nov 06 02:38:19 GMT+03:00 2024","passed","Wed Nov 06 02:38:20 GMT+03:00 2024","","test_login_courier","",""
"","26118","test_get_orders_with_courier_id[2]","api_test.tests","Wed Nov 06 02:38:48 GMT+03:00 2024","passed","Wed Nov 06 02:39:14 GMT+03:00 2024","TestOrderRetrieval","test_order_list","",""
"","91","test_create_order_with_optional_colors[colors1]","api_test.tests","Wed Nov 06 02:38:20 GMT+03:00 2024","passed","Wed Nov 06 02:38:20 GMT+03:00 2024","TestOrderCreation","test_order","",""
"","56","test_create_courier_response_code[payload2-400-None]","api_test.tests","Wed Nov 06 02:36:18 GMT+03:00 2024","passed","Wed Nov 06 02:36:18 GMT+03:00 2024","TestCourier","test_courier","",""
"","28194","test_get_orders_with_courier_id[1]","api_test.tests","Wed Nov 06 02:38:20 GMT+03:00 2024","passed","Wed Nov 06 02:38:48 GMT+03:00 2024","TestOrderRetrieval","test_order_list","",""
"","52","test_create_courier_missing_fields_error_message[payload1-400-expected_response1]","api_test.tests","Wed Nov 06 02:36:18 GMT+03:00 2024","passed","Wed Nov 06 02:36:18 GMT+03:00 2024","TestCourier","test_courier","",""
"","59","test_create_courier_missing_fields[payload2-201]","api_test.tests","Wed Nov 06 02:36:18 GMT+03:00 2024","passed","Wed Nov 06 02:36:18 GMT+03:00 2024","TestCourier","test_courier","",""
"","60045","test_login_courier_missing_fields[payload1-400]","api_test.tests","Wed Nov 06 02:36:19 GMT+03:00 2024","failed","Wed Nov 06 02:37:19 GMT+03:00 2024","","test_login_courier","",""
"","0","test_create_order[GREY]","api_test.tests","Wed Nov 06 02:38:20 GMT+03:00 2024","passed","Wed Nov 06 02:38:20 GMT+03:00 2024","TestOrderCreation","test_order","",""
